frame,status,lemma,example,functors,frequency,UMR concept,UMR roles,meaning,conversion rules,notes
v-w2_MPf100_MP,reviewed,sum,"""[...] (finis) qui item est universitatis principium""","ACT(obl), PAT(obl)",221,identity-91,ARG1|ARG2,,,
v-w73_MPf1_MP,obsolete,habeo,"""[...] (homo) aliquam partem habet [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf102_MP,reviewed,sum,"""[...] in intellectu iam Deum esse oporteat""","ACT(obl), LOC(non)",76,have-place-91,ARG1|ARG2,,,
v-w73_MPf2_MP,substituted_v-w73_MPf16_MP,habeo,"""[...] quia non habet amaritudinem conversatio illius [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf103_MP,reviewed,sum,"""eiusdem autem est [...] prosequi et [...] refutare [...]""","ACT(obl), PAT(obl)",4,sum-NEW-10,ARG1|ARG2,"be a duty of, be the office of someone",,"""it belongs to the wise man"""
v-w73_MPf3_MP,substituted_v-w73_MPf17_MP,habeo,"""[...] intellectus noster se habet [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf104_MP,reviewed,sum,"""[...] sapientiae studium est perfectius, sublimius, utilius et iucundius""","ACT(obl), PAT(obl)",175,have-mod-91,ARG1|ARG2,,,
v-w73_MPf4_MP,substituted_v-w73_MPf18_MP,habeo,"""[...] ex quo ratione (vertitas) haberi potest [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf105_MP,reviewed,sum,"""[...] in moventibus et motis non sit procedere in infinitum""","ACT(obl), LOC(non)",1,"(!delete,ACT)","!root,!modal-strength(neutral-affirmative)|place",,"delete the node, change modal-strength to neutral for the ACT",
v-w73_MPf5_MP,substituted_v-w73_MPf20_MP,habeo,"""[...] omni cognitione quam de substantiis inferioribus habemus""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf106_MP,reviewed,sum,"""[...] propositum nostra intentionis est veritatem [...] manifestare [...]""","ACT(obl), PAT(obl)",10,have-role-91,ARG1|ARG2,,,
v-w73_MPf6_MP,substituted_v-w73_MPf19_MP,habeo,"""[...] libri penes nos in verenartione habentur [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf107_MP,reviewed,sum,"""[...] difficile est procedere [...]""","ACT(obl), PAT(obl)",57,have-mod-91,ARG1|ARG2,,,
v-w73_MPf7_MP,substituted_v-w73_MPf21_MP,habeo,"""[...] haec tamen quae ratio naturaliter indita habet [...]""","ACT(obl), PAT(obl), EFF(obl)",,,,,,
v-w73_MPf22_MP,obsolete,habeo,"""quo non habito [...]""","ACT(obl), PAT(obl)",,,,,,
v-w73_MPf8_MP,substituted_v-w73_MPf22_MP,habeo,"""quo non habito [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf109_MP,reviewed,sum,"""[...] quia non ita sunt nobis nota sigulorum errantium dicta [...]""","ACT(obl), PAT(obl)",6,have-mod-91,ARG1|ARG2,,,but at least one identity-91
v-w73_MPf9_MP,substituted_v-w73_MPf23_MP,habeo,"""[...] ergo habemus propositum [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf111_MP,reviewed,sum,"""quae tamen in rebus divinis deficiens est""","ACT(obl), PAT(obl)",64,have-mod-91,ARG1|ARG2,,,"I considered replacing sum with the main verb, but it's not consistent enough. sometimes ACT would be ARG0, sometimes ARG1, and there's diffferent constructions altoghether (e.g. the most among, ""would be as intermediate movers"",...)"
v-w73_MPf10_MP,substituted_v-w73_MPf24_MP,habeo,"""hoc autem habet aristoteles pro impossibili [...]""","ACT(obl), PAT(obl), EFF(obl)",,,,,,
v-w2_MPf112_MP,reviewed,sum,"""est autem in his [...] duplex veritatis modus""","ACT(obl), LOC(non)",22,have-place-91,ARG1|ARG2,,,
v-w73_MPf11_MP,substituted_v-w73_MPf25_MP,habeo,"""[...] nam docentem necesse est habere scientiam [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf113_MP,reviewed,sum,"""quaedam vero sunt ad quae etiam ratio naturalis pertigere potest [...]""",ACT(obl),268,exist-91,ARG1,,,"mostly exist-91, with exceptions"
v-w73_MPf12_MP,substituted_v-w73_MPf26_MP,habeo,"""[...] addiscentem vero necesse est non habere""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf114_MP,reviewed,sum,"""[...] sicut est deum esse, deum esse unum, et alia huiusmodi""",ACT(obl),1,exist-91,ARG1,,,
v-w73_MPf13_MP,substituted_v-w73_MPf27_MP,habeo,"""[...] habetur propositum""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf115_MP,reviewed,sum,"""[...] sicut est deum esse [...]""",ACT(obl),188,"if(no-echild.functor:BEN)(!t_lemma(exist-91)) else (!t_lemma(pred-possession-91), if(echild.functor:BEN)(ARG2)else(!error))",ARG1,,,"hard to map. cases of have-pred-possession-91 (dative of possession), at least one have-mod-91 (conscius esset). could be an example for the paper. also in the instructions."
v-w73_MPf28_MP,obsolete,habeo,"""habet enim res unaquaeque in seipsa esse proprium [...]""","ACT(obl), PAT(obl)",,,,,,
v-w73_MPf29_MP,obsolete,habeo,"""[...] quod semper fuit, habet virtutem semper essendi""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf116_MP,reviewed,sum,"""[...] principium est quod quid est""","ACT(obl), PAT(obl)",8,identity-91,ARG1|ARG2,,,
v-w73_MPf30_MP,substituted_v-w73_MPf46_MP,habeo,"""et quod possibile est non moveri non habet de se ut perpetuo tempore moveatur""","ACT(obl), PAT(obl)",,,,,,
v-w73_MPf31_MP,obsolete,habeo,"""(quod possibile est non moveri, non habet) [...] nec quod in perpetuo tempore moveat""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf118_MP,reviewed,sum,"""[...] intellectus est elevatior [...]""","ACT(obl), PAT(obl)",60,have-mod-91,ARG1|ARG2,,,
v-w2_MPf119_MP,reviewed,sum,"""[...] (intellectus) quid est [...]""","ACT(obl), PAT(obl)",54,identity-91,ARG1|ARG2,,,some cases of have-mod-91.
v-w73_MPf34_MP,obsolete,habeo,"""et sic creatura habet quod dei est""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf120_MP,reviewed,sum,"""[...] quod quid est""","ACT(obl), PAT(obl)",3,identity-91,ARG1|ARG2,,,
v-w2_MPf121_MP,reviewed,sum,"""[...] nimiae stultitiae est homo [...]""","ACT(obl), PAT(obl)",13,have-mod-91,ARG1|ARG2,,,"otherwise I'd have to create a new frame meaning sth like ""have quality / charachteristics"", but that would be justified only by grammatical reasons. can be a good example for the paper."
v-w2_MPf122_MP,reviewed,sum,"""oportet enim esse inter homines aliquos [...]""","ACT(obl), LOC(non)",1,have-place-91,ARG1|ARG2,,,
v-w73_MPf37_MP,substituted_v-w73_MPf45_MP,habeo,"""esse enim et bonitas et omnia [...] nihil praeter se habent admixtum [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf123_MP,reviewed,sum,"""[...] philosophis cura fuit [...] ostendere [...]""","ACT(obl), PAT(obl)",9,identity-91,ARG1|ARG2,,,what a mix. only to pick something.
v-w2_MPf124_MP,reviewed,sum,"""[...] ipsum esse credimus supra omne id""","ACT(obl), LOC(non)",2,have-place-91,ARG1|ARG2,,,
v-w2_MPf126_MP,reviewed,sum,"""[...] ea quae supra rationem sunt [...]""","ACT(obl), LOC(non)",4,have-place-91,ARG1|ARG2,,,
v-w73_MPf43_MP,obsolete,habeo,"""[...] quominus haberet quicquid de perfectione albedinis haberi potest""","ACT(obl), PAT(obl)",,,,,,
v-w73_MPf41_MP,substituted_v-w73_MPf43_MP,habeo,"""[...] quominus haberet quicquid de perfectione albedinis haberi potest""","ACT(obl), PAT(obl)",,,,,,
v-w73_MPf42_MP,obsolete,habeo,"""[...] quicquid de perfectione albedinis haberi potest""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf127_MP,reviewed,sum,"""[...] quae sunt dei [...]""","ACT(obl), PAT(obl)",15,pred-possession-91,ARG1|ARG2,,,it seems to be esse + gen
v-w2_MPf128_MP,reviewed,sum,"""[...] omnia quae in mundo sunt [...]""","ACT(obl), LOC(non)",66,have-place-91,ARG1|ARG2,,,
v-w73_MPf47_MP,substituted_v-w73_MPf51_MP,habeo,"(Sallust) ""[...] virtus clara aeternaque habetur""","ACT(obl), PAT(obl), EFF(obl)",,,,,,
v-w2_MPf129_MP,reviewed,sum,"""[...] (habenae) in quibus in promptu est a carnalibus hominibus obediri""","ACT(obl), LOC(non)",2,have-place-91,ARG1|ARG2,,,
v-w73_MPf48_MP,substituted_v-w73_MPf52_MP,habeo,"(Sallust) ""imperium legitumum nomen imperi regium habebant""","ACT(obl), PAT(obl), EFF(obl)",,,,,,
v-w2_MPf131_MP,reviewed,sum,"""prope est verbum in corde tuo et in ore tuo""","ACT(obl), LOC(non)",1,have-place-91,ARG1|ARG2,,,
v-w73_MPf49_MP,substituted_v-w73_MPf53_MP,habeo,"(Sallust) ""ita eorum qui fecere virtus tanta habetur [...]""","ACT(obl), PAT(obl), EFF(obl)",,,,,,
v-w2_MPf132_MP,reviewed,sum,"""utile tamen est ut [...] se mens humana exerceat [...]""","ACT(obl), PAT(obl)",2,have-mod-91,ARG1|ARG2,,,
v-w73_MPf50_MP,substituted_v-w73_MPf54_MP,habeo,"(Sallust) ""quarum rerum ego maxuma documenta haec habeo, quod [...] vindicatum est [...]""","ACT(obl), PAT(obl), EFF(obl)",,,,,,
v-w2_MPf133_MP,reviewed,sum,"""singularis vero modus [...] est ex auctoritate scripturae divinitus confirmata miraculis""","ACT(obl), ORIG(obl)",4,have-source-91,ARG1|ARG2,,,
v-w2_MPf134_MP,reviewed,sum,"""[...] deum esse per se notum est [...]""","ACT(obl), PAT(obl)",16,"(!delete,PAT)","if(echild:functor:PAT, t_lemma:nosco)(ARG1) else if (echild.functor:PAT, t_lemma:contingo)(ARG0) else (!error)|if(echild.functor:PAT, t_lemma:nosco)(!root,!t_lemma(nosco-04)) else if (echild.functor:PAT, t_lemma:contingo)(!root,!t_lemma(contingo-05)) else (!error)",,"the PAT node is discarded, the ACT becomes PAT (ARG1), and children of the initial PAT, if any, are attached to the predicate as :manner",only notus est
v-w73_MPf57_MP,obsolete,habeo,"""[...] multos mortalis [...] aliud in lingua promptum habere [...]""","ACT(obl), PAT(obl), EFF(obl)",,,,,,
v-w2_MPf135_MP,reviewed,sum,"""huiusmodi autem est hoc [...]""","ACT(obl), PAT(obl)",2,have-mod-91,ARG1|ARG2,,,
v-w2_MPf136_MP,reviewed,sum,"""[...] deum esse per se notum est, quasi es ipsa significatione nominis manifestum""","ACT(obl), PAT(obl)",2,have-mod-91,ARG1|ARG2,,,
v-w73_MPf60_MP,obsolete,habeo,"""[...] oratione habita [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf137_MP,reviewed,sum,"""quod est contra rationem nominis""","ACT(obl), LOC(non)",1,aduersor-01,ARG0|ARG2,,,
v-w73_MPf62_MP,obsolete,habeo,"""igitur comitiis habitis [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf139_MP,reviewed,sum,"""deus autem huiusmodi est""","ACT(obl), PAT(obl)",2,have-mod-91,ARG1|ARG2,,,
v-w2_MPf142_MP,reviewed,sum,"""et ideo demonstrandum est quod necessarium sit""","ACT(obl), PAT(obl)",3,nosco-04,"ARG1|if(echild.functor:PAT, t_lemma:nosco)(!root,!t_lemma(nosco-04)) else (!root,!t_lemma(have-mod-91))",,"the PAT node is discarded, the ACT becomes PAT (ARG1), and children of the initial PAT, if any, are attached to the predicate as :manner",only notus est
v-w2_MPf143_MP,reviewed,sum,"""[...] non erit aliqua scientia supra naturalem [...]""","ACT(obl), LOC(non)",3,have-place-91,ARG1|ARG2,,,
v-w2_MPf145_MP,reviewed,sum,"""[...] quod nobis quale sit ignotum est [...]""","ACT(obl), PAT(obl)",14,have-mod-91,ARG1|ARG2,,,
v-w2_MPf146_MP,reviewed,sum,"""(In hac autem probatione sunt) scilicet, quod omne motum movetur ab alio""","ACT(obl), LOC(non)",2,include-91,ARG1|ARG2,,,
v-w2_MPf147_MP,reviewed,sum,"""[...] si antecedens sit impossibile""","ACT(obl), PAT(obl)",6,have-mod-91,ARG1|ARG2,,,
v-w73_MPf69_MP,substituted_v-w73_MPf71_MP,habeo,"""[...] pro certo habetote vos simul de exercitu catilinae et de omnibus coniuratis decernere""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf148_MP,reviewed,sum,"""[...] movens seipsum non est corpus""","ACT(obl), PAT(obl)",7,identity-91,ARG1|ARG2,,,
v-w2_MPf149_MP,reviewed,sum,"""quia omne [...] est divisibile et corpus [...]""","ACT(obl), PAT(obl)",3,have-mod-91,ARG1|ARG2,,,"the coordination should be moved one level up, because one requires have-mod-91 and the other one requires identity-91. but we can't/it's not worth addressing it right now. it  can be in the paper, if I need something to write."
v-w812_MPf2_MP,substituted_v-w812_MPf4_MP,possideo,[...] effectus non eodem modo possident calorem [...],"ACT(obl), PAT(obl)",,,,,,
v-w812_MPf1_MP,substituted_v-w812_MPf2_MP,possideo,,"ACT(obl), PAT(obl)",,,,,,
v-w2_MPf150_MP,reviewed,sum,"""movens et motum oportet simul esse""",ACT(obl),13,exist-91,ARG1,,,
v-w2_MPf151_MP,reviewed,sum,"""[...] unam partem esse immobilem et moventem aliam partem""","ACT(obl), PAT(obl)",5,have-mod-91,ARG1|ARG2,,,
v-w812_MPf5_MP,substituted_v-w812_MPf6_MP,possideo,"""si lubido possidet [...]""","ACT(obl), PAT(obl)",,,,,,
,,,,,,,,,,
v-w2_MPf152_MP,reviewed,sum,"""[...] in moventibus se quae sunt apud nos [...]""","ACT(obl), LOC(non)",2,have-place-91,ARG1|ARG2,,,apud nos
v-w2_MPf154_MP,reviewed,sum,"""nec est contra hanc rationem quod motores inferiorum orbium movent motum [...]""","ACT(obl), LOC(non)",2,aduersor-01,ARG0|ARG2,,,
v-w2_MPf13_MP,substituted_v-w2_MPf14_MP,sum,quod sit officium sapientis,"ACT(obl), PAT(obl)",,,,,,
v-w2_MPf12_MP,substituted_v-w2_MPf13_MP,sum,quod sit officium sapientis,"ACT(obl), PAT(obl)",,,,,,
v-w2_MPf11_MP,substituted_v-w2_MPf12_MP,sum,quod sit officium sapientis,"ACT(obl), PAT(obl)",,,,,,
v-w2_MPf10_MP,substituted_v-w2_MPf11_MP,sum,quod sit officium sapientis,"ACT(obl), PAT(obl)",,,,,,
v-w2_MPf9_MP,substituted_v-w2_MPf10_MP,sum,quod sit officium sapientis,"ACT(obl), PAT(obl)",,,,,,
v-w2_MPf8_MP,substituted_v-w2_MPf9_MP,sum,quod sit officium sapientis,"ACT(obl), PAT(obl)",,,,,,
v-w2_MPf7_MP,substituted_v-w2_MPf8_MP,sum,quod sit officium sapientis,"ACT(obl), PAT(obl)",,,,,,
v-w2_MPf6_MP,substituted_v-w2_MPf7_MP,sum,quod sit officium sapientis,"ACT(obl), PAT(obl)",,,,,,
v-w2_MPf5_MP,substituted_v-w2_MPf6_MP,sum,quod sit officium sapientis,"ACT(obl), PAT(obl)",,,,,,
v-w2_MPf4_MP,substituted_v-w2_MPf5_MP,sum,quod sit officium sapientis,"ACT(obl), PAT(obl)",,,,,,
v-w2_MPf3_MP,substituted_v-w2_MPf4_MP,sum,,"ACT(obl), PAT(obl)",,,,,,
v-w2_MPf36_MP,obsolete,sum,"""sic enim est dispositio rerum in veritate [...]""","ACT(obl), LOC(obl)",,,,,,
v-w2_MPf17_MP,substituted_v-w2_MPf36_MP,sum,"""sic enim est dispositio rerum in veritate [...]""","ACT(obl), LOC(obl)",,,,,,
v-w2_MPf16_MP,substituted_v-w2_MPf17_MP,sum,"""sic enim est dispositio rerum in veritate [...]""","ACT(obl), LOC(obl)",,,,,,
v-w2_MPf15_MP,substituted_v-w2_MPf16_MP,sum,,"ACT(obl), LOC(obl)",,,,,,
v-w2_MPf156_MP,reviewed,sum,"""appetibile autem est movens [..]""","ACT(obl), PAT(obl)",1,have-role-91,ARG1|ARG2,,,
v-w2_MPf33_MP,substituted_v-w2_MPf97_MP,sum,"""[...] sapientis est ordinare [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf22_MP,substituted_v-w2_MPf33_MP,sum,"""[...] sapientis est ordinare [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf18_MP,substituted_v-w2_MPf22_MP,sum,"""[...] sapientis est ordinare [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf157_MP,reviewed,sum,"""quorum primum est quod procedunt ex suppositione aeternitatis motus""","ACT(obl), PAT(obl)",2,identity-91,ARG1|ARG2,,,"one instance would have been have-reason-91, but the other one no. the common theme seems to be ""first/second of out two"""
v-w2_MPf34_MP,substituted_v-w2_MPf107_MP,sum,"""[...] sumi necesse est""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf19_MP,substituted_v-w2_MPf34_MP,sum,"""[...] sumi necesse est""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf160_MP,reviewed,sum,"""secundum est, quod supponitur [...]""","ACT(obl), PAT(obl)",1,identity-91,ARG1|ARG2,,,same frame and context as above
v-w2_MPf35_MP,substituted_v-w2_MPf98_MP,sum,"""finis [...] est bonum""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf20_MP,substituted_v-w2_MPf35_MP,sum,"""finis [...[ est bonum""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf21_MP,obsolete,sum,"""[...[ unam esse gubernativam et quasi principem [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf162_MP,reviewed,sum,"""ergo oportet ponere aliquid quod sit necesse-est""","ACT(obl), PAT(obl)",23,have-role-91,ARG1|ARG2,,,always with est necesse-esse
v-w2_MPf23_MP,substituted_v-w2_MPf100_MP,sum,"""[...] qui item est universitatis principium""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf101_MP,obsolete,sum,"""finis [...] est qui intenditur [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf24_MP,substituted_v-w2_MPf101_MP,sum,"""finis [...] est qui intenditur a primo auctore vel motore ipsius""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf25_MP,obsolete,sum,"""[...] finem universi esse bonum intellectus""","ACT(obl), PAT(obl)",,,,,,
