frame,status,lemma,example,functors,frequency,UMR concept,UMR roles,meaning,conversion rules,notes
v-w2_MPf222_MP,reviewed,sum,"""[...] appetibile autem et apprehensum est movens non motum""","ACT(obl), PAT(obl)",1,have-role-91,ARG1|ARG2,,,
v-w2_MPf224_MP,reviewed,sum,"""[...] (castra) post eum quae erant [...]""","ACT(obl), LOC(non)",2,have-place-91,ARG1|ARG2,,,
v-w2_MPf225_MP,reviewed,sum,"""[...] erat civitas magna inter Belgas auctoritate [...]""","ACT(obl), PAT(obl)",4,have-mod-91,ARG1|ARG2,,,
v-w2_MPf226_MP,reviewed,sum,"""[...] (agri) qui magno nobis usui ad bellum gerendum erant [...]""","ACT(obl), PAT(obl)",5,have-role-91,ARG1|ARG2,,,
v-w2_MPf227_MP,reviewed,sum,"""inde duae legiones [...] praesidioque impedimentis erant""","ACT(obl), PAT(obl)",9,have-role-91,ARG1|ARG2,,,
v-w2_MPf229_MP,reviewed,sum,"""nam quod possit cogitari non esse [...] est [...]""",ACT(obl),9,sum-01,ARG1,,,
v-w2_MPf232_MP,reviewed,sum,"""[...] mihi a spe metu partibus rei publicae animus liber erat""","ACT(obl), PAT(obl)",1,pred-possession-91,ARG1|ARG2,,,
v-w2_MPf141_MP,obsolete,sum,"""[...] quod deum est, sit suum esse""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf233_MP,reviewed,sum,"""sed civitas incredibile memoratu est adepta libertate quantum brevi creverit""","ACT(obl), PAT(obl)",1,have-mod-91,ARG1|ARG2,,,
v-w2_MPf234_MP,reviewed,sum,"""[...] incredibile memoratu est quam facile coaluerint""","ACT(obl), PAT(obl)",1,have-mod-91,ARG1|ARG2,,,
v-w2_MPf235_MP,reviewed,sum,"""[...] ubi fueris [...]""","ACT(obl), LOC(non)",1,have-place-91,ARG1|ARG2,,,
v-w2_MPf236_MP,reviewed,sum,"""[...] iis otium divitiaeque optanda alias oneri miseriaeque fuere""","ACT(obl), PAT(obl)",1,have-result-91,ARG1|ARG2,,,
v-w2_MPf237_MP,reviewed,sum,"""[...] sacrilegi convictis iudiciis [...], adhoc quos manus atque lingua periurio aut sanguine civili alebant [...] catilinae proxumi familiaresque erant""","ACT(obl), PAT(obl)",1,have-role-91,ARG1|ARG2,,,
v-w2_MPf153_MP,substituted_v-w2_MPf254_MP,sum,"""moventia [...] scilicet animalia cum sint corrptibilia [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf238_MP,reviewed,sum,"""[...] foedum hominem a re publica procul esse volebat [...]""","ACT(obl), LOC(non)",1,have-place-91,ARG1|ARG2,,,
v-w2_MPf239_MP,reviewed,sum,"""nam idem velle atque idem nolle ea demum firma amicitia est""","ACT(obl), PAT(obl)",2,identity-91,ARG1|ARG2,,,
v-w2_MPf158_MP,substituted_v-w2_MPf160_MP,sum,"""secundum est, quod supponitur [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf240_MP,reviewed,sum,"""itaque omnis gratia potentia honos divitiae apud illos sunt aut ubi illi volunt""","ACT(obl), LOC(non)",1,have-place-91,ARG1|ARG2,,,
v-w2_MPf161_MP,substituted_v-w2_MPf165_MP,sum,"""[...]hoc sit ex aliqua causa""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf241_MP,reviewed,sum,"""at nobis est domi inopia [...]""","ACT(obl), LOC(non)",1,pred-possession-91,ARG1|ARG2,,,
v-w2_MPf163_MP,obsolete,sum,"""quod autem non toto se agit, non est primum agens""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf242_MP,reviewed,sum,"""sed urbana plebes ea vero praeceps erat de multis causis""","ACT(obl), PAT(obl)",1,have-mod-91,ARG1|ARG2,,,
v-w2_MPf166_MP,obsolete,sum,"""quod igitur est in fine nobilitatis omnium entium, oportet esse in fine simplicitatis""","ACT(obl), LOC(non)",,,,,,
v-w2_MPf167_MP,obsolete,sum,"""quod in deo nihil est [...] praeter naturam""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf168_MP,obsolete,sum,"""[...] nihil potest esse [...] extra naturam""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf169_MP,obsolete,sum,"""nam quod est de substantia rei non potest esse [...] praeter naturam""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf170_MP,obsolete,sum,"""[...] ibi potest esse aliquid praeter id [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf243_MP,reviewed,sum,"[...] inpunitatem perdundae rei publicae fore credebat""","ACT(obl), PAT(obl)",1,have-result-91,ARG1|ARG2,,,
v-w2_MPf244_MP,reviewed,sum,"""[...] (equites) qui praesidi causa cum telis erant circum aedem concordiae [...]""","ACT(obl), LOC(non)",1,have-place-91,ARG1|ARG2,,,
v-w2_MPf245_MP,reviewed,sum,"""quasi vero mali atque scelesti tantummodo in urbe et non per totam italiam sint [...]""","ACT(obl), LOC(non)",1,have-place-91,ARG1|ARG2,,,
v-w2_MPf246_MP,reviewed,sum,"""alii intra moenia atque in sinu urbis sunt hostes""","ACT(obl), LOC(non)",1,have-place-91,ARG1|ARG2,,,
v-w2_MPf248_MP,reviewed,sum,"""[...] gloria belli gallos ante romanos fuisse""","ACT(obl), LOC(non)",2,sum-NEW-11,ARG1|ARG2,be superior to,,
v-w2_MPf249_MP,reviewed,sum,"""[...] sed alia alii (fuere)""","ACT(obl), PAT(obl)",1,pred-possession-91,ARG1|ARG2,,,
v-w2_MPf250_MP,reviewed,sum,"""nunc vero quo loco res nostrae sint [...]""","ACT(obl), LOC(non)",1,have-place-91,ARG1|ARG2,,,
v-w2_MPf251_MP,reviewed,sum,"""[...] planities inter sinistros montis et ab dextra rupe aspera [...]""","ACT(obl), LOC(non)",1,have-place-91,ARG1|ARG2,,,
v-w2_MPf178_MP,substituted_v-w2_MPf255_MP,sum,"""nec est incoveniens [...] quod illud [...]acquirat ab alio perpetuitatem motus [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf252_MP,reviewed,sum,"""[...] ipsi gentiles fuerant, vel saltem inter gentiles conversati et in eorum doctrinis eruditi""","ACT(obl), PAT(obl)",1,have-role-91,ARG1|ARG2,,,
v-w2_MPf179_MP,substituted_v-w2_MPf180_MP,sum,"""[...]
 non sit potentia infinita [...] extra magnitudinem""","ACT(obl), LOC(non)",,,,,,
v-w2_MPf253_MP,reviewed,sum,"""[...] de non esse in esse quando factum est tunc recte perfectum esse dicitur [...]""","ACT(obl), PAT(obl)",2,have-mod-91,ARG1|ARG2,,,
v-w2_MPf254_MP,reviewed,sum,"""moventia [...] scilicet animalia cum sint corruptibilia [...]""","ACT(obl), PAT(obl)",1,have-mod-91,ARG1|ARG2,,,
v-w2_MPf182_MP,substituted_v-w2_MPf193_MP,sum,"""[...] (motus) qui est a movente corporeo [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf183_MP,obsolete,sum,"""[...] si est alicui quidditati [...]""","ACT(obl), APP(non)",,,,,,
v-w2_MPf255_MP,reviewed,sum,"""nec est incoveniens secundum commentarorem quod illud [...] acquirat ab alio perpetuitatem motus [...]""","ACT(obl), PAT(obl)",1,have-mod-91,ARG1|ARG2,,,
v-w2_MPf185_MP,obsolete,sum,"""quod igitur non est suum esse, non est per se necesse-esse""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf256_MP,reviewed,sum,"""de natura enim actionis est ut agens sibi simile agat [...]""","ACT(obl), PAT(obl)",1,pred-possession-91,ARG1|ARG2,,,
v-w2_MPf186_MP,substituted_v-w2_MPf192_MP,sum,"""[...] et ab ea est esse""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf257_MP,reviewed,sum,"""aliter sine populi iussu nullius earum rerum consuli ius est""","ACT(obl), PAT(obl)",1,pred-possession-91,ARG1|ARG2,,,
v-w2_MPf47_MP,reviewed,sum,"""[...] pertinet ad primum principium essendi omnibus""",ACT(obl),39,exist-91,ARG1,,,
v-w2_MPf189_MP,obsolete,sum,"""cuicumque intest aliquod accidens, non est quidquid habet in se [...]""","ACT(obl), PAT(obl)",,,,,,
v-w2_MPf81_MP,reviewed,sum,"""aut ergo est procedere in infinitum""",ACT(obl),5,"(!delete,ACT)","!root,!modal-strength(partial-affirmative)",,"delete concept, change modal-strength into partial-aff.",
v-w2_MPf84_MP,reviewed,sum,"""huiusmodi autem est deum esse""","ACT(obl), PAT(obl)",1,have-mod-91,ARG1|ARG2,,,
v-w2_MPf85_MP,reviewed,sum,"""[...] intelligere et opinari sit quoddam moveri""","ACT(obl), PAT(obl)",1,have-role-91,ARG1|ARG2,,,
v-w2_MPf95_MP,reviewed,sum,"""apud quem non est transmutatio""","ACT(obl), LOC(non)",1,have-place-91,ARG1|ARG2,,,
v-w2_MPf96_MP,reviewed,sum,"""quod sit officium sapientis""","ACT(obl), PAT(obl)",74,identity-91,ARG1|ARG2,,,
v-w2_MPf97_MP,reviewed,sum,"""[...] sapientis est ordinare""","ACT(obl), PAT(obl)",7,sum-NEW-09,ARG1|ARG2,be proper / typical of,,
v-w2_MPf98_MP,reviewed,sum,"""finis enim est bonum uniuscuiusque""","ACT(obl), PAT(obl)",206,identity-91,ARG1|ARG2,,,
v-w2_MPf99_MP,reviewed,sum,"""[...] quae religioni contraria est [...]""","ACT(obl), PAT(obl)",282,have-mod-91,ARG1|ARG2,,,
v-w73_MPf14_MP,reviewed,habeo,"""(habetur) quod aliquid sit movens immobile""","ACT(obl), PAT(obl)",4,habeo-NEW-30,ARG0|ARG1,"reach a conclusion, prove a point",,
v-w73_MPf15_MP,reviewed,habeo,"""[...] (homo) aliquam partem habet [...]""","ACT(obl), PAT(obl)",83,thetic-possession-91,ARG1|ARG2,,,"better a placeholder that gets it sometimes like now, or not claiming anything by saying habeo-NEW-xx?"
v-w73_MPf16_MP,reviewed,habeo,"""[...] quia non habet amaritudinem conversatio illius [...]""","ACT(obl), PAT(obl)",44,thetic-possession-91,ARG1|ARG2,,,"better a placeholder that gets it sometimes like now, or not claiming anything by saying habeo-NEW-xx?"
v-w2_MPf204_MP,substituted_v-w2_MPf256_MP,sum,"""de natura enim actionis st ut agens sibi simile agat [...]","ACT(obl), PAT(obl)",,,,,,
v-w73_MPf17_MP,reviewed,habeo,"""[...] intellectus noster se habet [...]""","ACT(obl), PAT(obl)",29,habeo-NEW-31,ARG1|ARG2,be related to,,
v-w73_MPf18_MP,reviewed,habeo,"""[...] ex quo ratione (vertitas) haberi potest [...]""","ACT(obl), PAT(obl)",13,habeo-NEW-35,ARG0|ARG1,placeholder frame,,"as in ""know, possess knowledge or info about"". MA ci sono casi in sallust di habeo-NEW-25."
v-w2_MPf207_MP,obsolete,sum,"""[...] bonum non est huius vel illius partis, sed totius [...]""","ACT(obl), PAT(obl)",,,,,,
v-w73_MPf19_MP,reviewed,habeo,"""[...] libri penes nos in verenartione habentur [...]""","ACT(obl), PAT(obl)",14,habeo-NEW-34,ARG1|ARG2,placeholder frame,,placeholder
v-w73_MPf20_MP,reviewed,habeo,"""[...] omni cognitione quam de substantiis inferioribus habemus""","ACT(obl), PAT(obl)",30,habeo-10,ARG0|ARG1,,,
v-w73_MPf21_MP,reviewed,habeo,"""[...] haec tamen quae ratio naturaliter indita habet [...]""","ACT(obl), PAT(obl), EFF(obl)",1,thetic-possession-91,ARG1|ARG2,,,
v-w73_MPf23_MP,reviewed,habeo,"""[...] ergo habemus propositum [...]""","ACT(obl), PAT(obl)",4,habeo-10,ARG0|ARG1,,,"""that had temporal promises"", ""we have our conclusion (first premise of syllogism"")"
v-w73_MPf24_MP,reviewed,habeo,"""hoc autem habet aristoteles pro impossibili, quod scilicet aliquando nullus motus sit""","ACT(obl), PAT(obl), EFF(obl)",1,habeo-07,ARG0|ARG1|ARG2,,,
v-w73_MPf25_MP,reviewed,habeo,"""[...] nam docentem necesse est habere scientiam [...]""","ACT(obl), PAT(obl)",1,thetic-possession-91,ARG1|ARG2,,,
v-w2_MPf214_MP,obsolete,sum,"""quod autem inest alicui [...] est violentum et praeter naturam""","ACT(obl), LOC(non)",,,,,,
v-w73_MPf26_MP,reviewed,habeo,"""[...] addiscentem vero necesse est non habere""","ACT(obl), PAT(obl)",1,thetic-possession-91,ARG1|ARG2,,,same frame and sentence as previous frame
v-w73_MPf27_MP,reviewed,habeo,"""[...] habetur propositum""","ACT(obl), PAT(obl)",2,habeo-10,ARG0|ARG1,,,"ex habeo-propositum-NEW-01 ""reach a conclusion, prove a point"""
v-w73_MPf32_MP,reviewed,habeo,"""[...] caelum habet duos motores: unum proximum [...] et alium remotum [...]""","ACT(obl), PAT(obl)",2,thetic-possession-91,ARG1|ARG2,,,
v-w73_MPf33_MP,reviewed,habeo,"""[...] (caelum) habet quod motus eius sit finitae velocitatis [...]""","ACT(obl), PAT(obl)",3,habeo-19,ARG0|ARG1,,,
v-w73_MPf35_MP,reviewed,habeo,"""[...] bonum facit habentem [...]""","ACT(obl), PAT(obl)",1,thetic-possession-91,ARG1|ARG2,,,
v-w73_MPf36_MP,reviewed,habeo,"""omne simplex suum esse et id quod est unum habet""","ACT(obl), PAT(obl), EFF(obl)",1,habeo-NEW-33,ARG0|ARG1|ARG2,have something in a certain way,,
v-w2_MPf221_MP,obsolete,sum,"""[...] quod est in altero, est in eo [...]""","ACT(obl), LOC(non)",,,,,,
v-w73_MPf38_MP,reviewed,habeo,"""licet id quod est vel bonum possit aliquid [...] habere""","ACT(obl), PAT(obl)",1,habeo-10,ARG0|ARG1,,,
v-w73_MPf39_MP,reviewed,habeo,"""igitur totus hic mundus non habet nisi unus ordinatorem et gubernatorem""","ACT(obl), PAT(obl)",1,thetic-possession-91,ARG1|ARG2,,,
v-w2_MPf223_MP,substituted_v-w2_MPf224_MP,sum,"""[...] (castra) post eum quae erant [...]""","ACT(obl), LOC(obl)",,,,,,
v-w73_MPf40_MP,reviewed,habeo,"""aut (habet) ergo essentiam eius quod est necesse-esse, aut aliquid aliud""","ACT(obl), PAT(obl)",1,thetic-possession-91,ARG1|ARG2,,,
v-w73_MPf44_MP,reviewed,habeo,"""tanto actus aliquis pefectior est, quanto minus habet potentiae permixtum""","ACT(obl), PAT(obl)",1,habeo-10,ARG0|ARG1,,,
v-w73_MPf45_MP,reviewed,habeo,"""esse enim et bonitas et omnia [...] nihil praeter se habent admixtum [...]""","ACT(obl), PAT(obl)",1,habeo-10,ARG0|ARG1,,,
v-w73_MPf46_MP,reviewed,habeo,"""et quod possibile est non moveri non habet de se ut perpetuo tempore moveatur""","ACT(obl), PAT(obl)",1,habeo-19,ARG0|ARG1,,,
v-w2_MPf228_MP,substituted_v-w2_MPf235_MP,sum,"(Cicero) ""[...] ubi fueris [...]""","ACT(obl), LOC(non)",,,,,,
v-w73_MPf51_MP,reviewed,habeo,"""[...] virtus clara aeternaque habetur""","ACT(obl), PAT(obl), EFF(obl)",3,habeo-07,ARG0|ARG1|ARG2,,,
v-w2_MPf230_MP,substituted_v-w2_MPf232_MP,sum,"(Sallust) ""[...] mihi a spe metu partibus rei publicae animus liber erat""","ACT(obl), PAT(obl)",,,,,,
v-w73_MPf52_MP,reviewed,habeo,"""imperium legitumum nomen imperi regium habebant""","ACT(obl), PAT(obl), EFF(obl)",1,thetic-possession-91,ARG1|ARG2,,,
v-w2_MPf231_MP,substituted_v-w2_MPf233_MP,sum,"(Sallust) ""sed civitas incredibile memoratu est adepta libertate quantum brevi creverit""","ACT(obl), PAT(obl)",,,,,,
v-w73_MPf53_MP,reviewed,habeo,"""ita eorum qui fecere virtus tanta habetur [...]""","ACT(obl), PAT(obl), EFF(obl)",1,habeo-07,ARG0|ARG1|ARG2,,,
v-w73_MPf54_MP,reviewed,habeo,"""quarum rerum ego maxuma documenta haec habeo, quod [...] vindicatum est [...]""","ACT(obl), PAT(obl), EFF(obl)",1,habeo-07,ARG0|ARG1|ARG2,,,
v-w73_MPf55_MP,reviewed,habeo,"""(ego documenta habeo) in pace vero quod beneficiis magis quam metu imperium agitabant [...]""","ACT(obl), PAT(obl), EFF(obl)",1,habeo-07,ARG0|ARG1|ARG2,,,
v-w73_MPf56_MP,reviewed,habeo,"""[...] omnia venalia habere edocuit""","ACT(obl), PAT(obl), EFF(obl)",1,habeo-07,ARG0|ARG1|ARG2,,,
v-w73_MPf58_MP,reviewed,habeo,"""[...] paupertas probro haberi [...] coepit""","ACT(obl), PAT(obl), EFF(obl)",1,habeo-07,ARG0|ARG1|ARG2,,,
v-w73_MPf59_MP,reviewed,habeo,"""[...] pudorem pudicitiam divina atque humana promiscua [...] habere""","ACT(obl), PAT(obl), EFF(obl)",3,habeo-07,ARG0|ARG1|ARG2,,,
v-w73_MPf61_MP,reviewed,habeo,"""at fulvia [...] tale periculum rei publicae haud occultum habuit [...]""","ACT(obl), PAT(obl), EFF(obl)",1,habeo-NEW-25,ARG0|ARG1|ARG2,,,
v-w73_MPf63_MP,reviewed,habeo,"""[...] exercitus manli quantus aut quo consilio foret satis compertum habebat [...]""","ACT(obl), PAT(obl), EFF(obl)",1,habeo-compertum-NEW-01,ARG0|ARG1|!delete,know full well,discarding children is done automatically,
v-w73_MPf64_MP,reviewed,habeo,"""sed allobroges diu in incerto habuere quidnam consilii caperent""","ACT(obl), PAT(obl)",1,habeo-in-incerto-NEW-01 if(echild.functor:MANN)(!delete) else !ok,ARG0|ARG1,"not know, be unsure about","delete MANN (not in frame, tho)",
v-w73_MPf65_MP,reviewed,habeo,"""[...] eos quam maxume manufestos habeant""","ACT(obl), PAT(obl), EFF(obl)",3,habeo-NEW-25,ARG0|ARG1|ARG2,,,
v-w73_MPf66_MP,reviewed,habeo,"""[...] quid aut qua de causa consili habuisset [...]""","ACT(obl), PAT(obl)",1,thetic-possession-91,ARG1|ARG2,,,
v-w73_MPf67_MP,reviewed,habeo,"""[...] lentulus itemque ceteri in liberis custodiis habeantur""","ACT(obl), PAT(obl)",1,habeo-NEW-32,ARG0|ARG1,keep under control; keep in check (02681795),,
v-w73_MPf68_MP,reviewed,habeo,"""[...] multosque mortalis ea causa advorsos habeo""","ACT(obl), PAT(obl), EFF(obl)",2,habeo-NEW-25,ARG0|ARG1|ARG2,,,
v-w2_MPf247_MP,substituted_v-w2_MPf248_MP,sum,"""[...] gloria belli gallos ante romanos fuisse""","ACT(obl), PAT(obl)",,,,,,
v-w73_MPf70_MP,reviewed,habeo,"""compertum ego habeo milites verba virtutem non addere [...]""","ACT(obl), PAT(obl), EFF(obl)",1,habeo-compertum-NEW-01,ARG0|ARG1|!delete,know full well,discarding children is done automatically,
v-w73_MPf71_MP,reviewed,habeo,"""[...] pro certo habetote vos simul de exercitu catilinae et de omnibus coniuratis decernere""","ACT(obl), PAT(obl), EFF(obl)",1,habeo-07,ARG0|ARG1|ARG2,,,
